TableS3 predicted macrophage cis-regulatory elements ,,,,,,,,,
seqnames,start,end,width,strand,score,gene,peak,zscore,pvalue
chr1,6063751,6424670,360920,*,0.104766058,HES2,chr1-6063426-6064076,5.029139135,2.46E-07
chr1,6082580,6424670,342091,*,0.050781831,HES2,chr1-6082453-6082707,1.94828776,0.02569027
chr1,6086518,6424670,338153,*,0.075582609,HES2,chr1-6086468-6086568,4.100522131,2.06E-05
chr1,6179519,6555181,375663,*,0.07085088,TAS1R1,chr1-6179063-6179975,4.66553739,1.54E-06
chr1,6185904,6614607,428704,*,0.051000493,KLHL21,chr1-6185742-6186066,3.559344456,0.000185891
chr1,6342321,6394391,52071,*,0.055330848,ACOT7,chr1-6342124-6342518,3.164344987,0.000777162
chr1,6365167,6424670,59504,*,0.12390295,HES2,chr1-6365084-6365250,4.362211745,6.44E-06
chr1,6365167,6555181,190015,*,0.100531486,TAS1R1,chr1-6365084-6365250,5.949060429,1.35E-09
chr1,6394391,6401820,7430,*,0.071661345,ACOT7,chr1-6401586-6402053,4.166462338,1.55E-05
chr1,6401820,6424670,22851,*,0.0893991,HES2,chr1-6401586-6402053,3.223059363,0.000634146
chr1,6414508,6424670,10163,*,0.066396666,HES2,chr1-6414247-6414769,2.854679107,0.002154017
chr1,6415304,6424670,9367,*,0.107050101,HES2,chr1-6415085-6415522,3.713255818,0.000102305
chr1,6415304,6555181,139878,*,0.079720322,TAS1R1,chr1-6415085-6415522,6.042474563,7.59E-10
chr1,6416139,6424670,8532,*,0.072056161,HES2,chr1-6416044-6416233,2.638070755,0.004168959
chr1,6419850,6424670,4821,*,0.05962802,HES2,chr1-6419664-6420036,2.263828943,0.011792319
chr1,6420606,6424670,4065,*,0.074173355,HES2,chr1-6420278-6420933,3.073914057,0.001056351
chr1,6423995,6424670,676,*,0.106489058,HES2,chr1-6423594-6424395,5.684528181,6.56E-09
chr1,6424670,6509841,85172,*,0.086976517,HES2,chr1-6509348-6510333,3.945823197,3.98E-05
chr1,6460106,6555181,95076,*,0.108644455,TAS1R1,chr1-6459915-6460297,7.780386896,3.62E-15
chr1,6554535,6861656,307122,*,0.051864179,NOL9,chr1-6861394-6861917,3.75830614,8.55E-05
chr1,6555181,6646664,91484,*,0.080328173,TAS1R1,chr1-6646339-6646989,5.430846652,2.80E-08
chr1,6555181,6991429,436249,*,0.053705652,TAS1R1,chr1-6991356-6991501,4.565511788,2.49E-06
chr1,6613685,6707949,94265,*,0.054452193,PHF13,chr1-6707868-6708030,3.836511954,6.24E-05
chr1,7402047,7853512,451466,*,0.05258225,UTS2,chr1-7401811-7402282,3.223702692,0.000632724
chr1,7539056,7853512,314457,*,0.054248996,UTS2,chr1-7538756-7539355,3.154239891,0.000804584
chr1,7628617,7853512,224896,*,0.055411532,UTS2,chr1-7628368-7628865,3.08339928,0.001023252
chr1,7913145,8317826,404682,*,0.07635415,SLC45A1,chr1-7912767-7913522,5.462614849,2.35E-08
chr1,7942111,7943165,1055,*,0.083291865,TNFRSF9,chr1-7940743-7943478,5.436052452,2.72E-08
chr1,7943165,8083601,140437,*,0.062328195,TNFRSF9,chr1-8082915-8084287,3.438688854,0.000292269
chr1,7943165,8104753,161589,*,0.058980887,TNFRSF9,chr1-8104411-8105094,3.096711112,0.000978402
chr1,7954291,8095122,140832,*,0.064858314,PARK7,chr1-8095068-8095176,4.940535766,3.90E-07
chr1,8026308,8165954,139647,*,0.07352921,ERRFI1,chr1-8165791-8166117,5.228225075,8.56E-08
chr1,8317826,8412269,94444,*,0.063564847,SLC45A1,chr1-8412041-8412496,4.035920354,2.72E-05
chr1,8317826,8443904,126079,*,0.08225094,SLC45A1,chr1-8443606-8444201,5.117984779,1.54E-07
chr1,8476229,8817643,341415,*,-0.050704803,RERE,chr1-8475795-8476663,-2.849161874,0.002191729
chr1,8625674,8879249,253576,*,0.050558324,ENO1,chr1-8625529-8625818,2.522245043,0.005830422
chr1,8661337,8879249,217913,*,0.0505816,ENO1,chr1-8660362-8662312,2.428464705,0.00758145
chr1,8784065,9026345,242281,*,0.051114708,SLC2A7,chr1-8783891-8784239,4.523809803,3.04E-06
chr1,8871258,9292880,421623,*,0.084603649,SPSB1,chr1-8871128-8871388,1.696996451,0.044848666
chr1,8872126,9292880,420755,*,0.090594972,SPSB1,chr1-8872058-8872194,1.953020462,0.025408585
chr1,8878749,8879249,501,*,0.064212111,ENO1,chr1-8877774-8879724,2.502950111,0.006158145
chr1,9026345,9520844,494500,*,0.12294914,SLC2A7,chr1-9520707-9520981,10.36783193,1.74E-25
chr1,9069785,9088478,18694,*,0.050585039,SLC2A5,chr1-9069373-9070197,3.120664544,0.000902217
chr1,9081144,9292880,211737,*,0.191385397,SPSB1,chr1-9081014-9081273,4.570682014,2.43E-06
chr1,9093807,9292880,199074,*,0.093004174,SPSB1,chr1-9093212-9094401,1.788471082,0.036850019
chr1,9119754,9292880,173127,*,0.089701258,SPSB1,chr1-9119433-9120075,1.803169834,0.035680773
chr1,9182742,9292880,110139,*,0.056385874,SPSB1,chr1-9182119-9183364,1.830733992,0.033570128
chr1,9196347,9292880,96534,*,0.068106349,SPSB1,chr1-9195778-9196915,1.731838762,0.041651137
chr1,9233471,9292880,59410,*,0.113834904,SPSB1,chr1-9233283-9233658,4.285470896,9.12E-06
chr1,9269406,9292880,23475,*,0.063619449,SPSB1,chr1-9269325-9269486,2.135828577,0.016346694
chr1,9275678,9292880,17203,*,0.144713768,SPSB1,chr1-9275187-9276168,3.793818556,7.42E-05
chr1,9279476,9292880,13405,*,0.143493634,SPSB1,chr1-9279268-9279683,2.990317392,0.001393439
chr1,9280835,9292880,12046,*,0.12199256,SPSB1,chr1-9280432-9281238,3.083526069,0.001022816
chr1,9283272,9292880,9609,*,0.080339438,SPSB1,chr1-9283196-9283348,1.99232029,0.023167963
chr1,9290260,9292880,2621,*,0.248563425,SPSB1,chr1-9289691-9290828,5.926447368,1.55E-09
chr1,9292880,9293137,258,*,0.066485732,SPSB1,chr1-9292443-9293831,2.275394766,0.01144113
chr1,9292880,9297073,4194,*,0.120544806,SPSB1,chr1-9296982-9297164,3.981362589,3.43E-05
chr1,9292880,9315803,22924,*,0.127840779,SPSB1,chr1-9315392-9316213,2.584450821,0.004876711
chr1,9292880,9319684,26805,*,0.064544721,SPSB1,chr1-9319581-9319787,2.028281861,0.021265745
chr1,9292880,9321572,28693,*,0.092488902,SPSB1,chr1-9321222-9321921,1.91253414,0.027903859
chr1,9292880,9351840,58961,*,0.080500652,SPSB1,chr1-9351553-9352127,2.851940064,0.002172665
chr1,9292880,9413564,120685,*,0.100560803,SPSB1,chr1-9413265-9413863,3.808131284,7.00E-05
chr1,9292880,9439160,146281,*,0.133856123,SPSB1,chr1-9438548-9439772,3.267272087,0.000542946
chr1,9292880,9476846,183967,*,0.122535425,SPSB1,chr1-9476540-9477151,2.9262959,0.001715123
chr1,9292880,9490934,198055,*,0.102971493,SPSB1,chr1-9490502-9491366,2.349835181,0.009390863
chr1,9292880,9529411,236532,*,0.082762673,SPSB1,chr1-9529068-9529754,2.22985489,0.012878539
chr1,9292880,9571086,278207,*,0.198421896,SPSB1,chr1-9570760-9571411,5.200919114,9.92E-08
chr1,9292880,9638882,346003,*,0.086411623,SPSB1,chr1-9638606-9639158,2.085605922,0.018507167
chr1,9292880,9644566,351687,*,0.089243517,SPSB1,chr1-9643689-9645442,2.120591695,0.016978089
chr1,9292880,9659510,366631,*,0.102203758,SPSB1,chr1-9659419-9659600,2.288464203,0.011055251
chr1,9292880,9696964,404085,*,0.075163619,SPSB1,chr1-9696790-9697137,1.745859694,0.040417668
chr1,9292880,9719219,426340,*,0.072138993,SPSB1,chr1-9718705-9719732,2.508027228,0.006070366
chr1,9292880,9761985,469106,*,0.056569033,SPSB1,chr1-9761935-9762035,1.899837792,0.028727205
chr1,10022881,10472288,449408,*,0.060083304,PEX14,chr1-10022765-10022997,2.425902914,0.007635177
chr1,10065404,10472288,406885,*,0.0816491,PEX14,chr1-10065144-10065664,2.82786915,0.002342948
chr1,10204351,10449719,245369,*,0.085869381,CORT,chr1-10204117-10204584,6.315906235,1.34E-10
chr1,10210724,10210805,82,*,0.080470745,KIF1B,chr1-10209758-10211689,4.717723536,1.19E-06
chr1,10218445,10472288,253844,*,0.057101017,PEX14,chr1-10218014-10218876,2.189326507,0.014286559
chr1,10259675,10472288,212614,*,0.057606545,PEX14,chr1-10259510-10259840,2.225933091,0.013009332
chr1,10273666,10449719,176054,*,0.067795851,CORT,chr1-10273436-10273896,6.100296022,5.29E-10
chr1,10328978,10472288,143311,*,0.053171082,PEX14,chr1-10328561-10329394,2.61830225,0.004418425
chr1,10378119,10472288,94170,*,0.054868752,PEX14,chr1-10377287-10378951,1.757413042,0.039423716
chr1,10449719,10451501,1783,*,0.059320299,CORT,chr1-10451407-10451594,4.703746304,1.28E-06
chr1,10449719,10523854,74136,*,0.057813216,CORT,chr1-10523800-10523908,4.144282974,1.70E-05
chr1,10449719,10788836,339118,*,0.063805303,CORT,chr1-10788671-10789000,5.074592782,1.94E-07
chr1,10449719,10814449,364731,*,0.087511935,CORT,chr1-10814368-10814529,7.630473228,1.17E-14
chr1,10472288,10484654,12367,*,0.064183859,PEX14,chr1-10484138-10485169,2.461627616,0.006915409
chr1,10796650,10856708,60059,*,0.05051094,CASZ1,chr1-10856580-10856836,4.271280426,9.72E-06
chr1,11043735,11047233,3499,*,0.050418454,MASP2,chr1-11043615-11043855,3.638583018,0.000137071
chr1,11267835,11691729,423895,*,0.058439047,DRAXIN,chr1-11267704-11267965,1.830884348,0.033558904
chr1,11283358,11691729,408372,*,0.070047003,DRAXIN,chr1-11283213-11283502,2.051647634,0.02010196
chr1,11318236,11761787,443552,*,0.054431219,C1orf167,chr1-11318171-11318301,3.294180518,0.000493545
chr1,11611840,11761787,149948,*,0.052781038,C1orf167,chr1-11611672-11612008,4.056069894,2.50E-05
chr1,11691103,11691729,627,*,0.055155876,DRAXIN,chr1-11690404-11691802,2.519269802,0.005879925
chr1,11691729,11708795,17067,*,0.07405296,DRAXIN,chr1-11708598-11708992,2.520364646,0.005861666
chr1,11691729,11986042,294314,*,0.051255473,DRAXIN,chr1-11985628-11986456,1.780221547,0.037519855
chr1,11691729,12039213,347485,*,0.086642745,DRAXIN,chr1-12038993-12039433,4.34110115,7.09E-06
chr1,11691729,12096033,404305,*,0.06703408,DRAXIN,chr1-12095794-12096272,1.871120245,0.030664208
chr1,11691729,12168465,476737,*,0.073625196,DRAXIN,chr1-12168190-12168740,3.333030098,0.000429528
chr1,11693306,11934205,240900,*,0.052032743,PLOD1,chr1-11692863-11693748,3.255476708,0.000566011
chr1,11708795,12166943,458149,*,-0.050727595,TNFRSF1B,chr1-11708598-11708992,-2.562149696,0.005201324
chr1,11719699,11926428,206730,*,0.053724367,KIAA2013,chr1-11719148-11720249,2.787436427,0.002656344
chr1,11848345,12088599,240255,*,0.050311223,NPPA,chr1-12087616-12089582,4.020257586,2.91E-05
chr1,12166943,12595291,428349,*,-0.051904504,TNFRSF1B,chr1-12595187-12595394,-3.523349393,0.000213065
chr1,13583465,13584179,715,*,0.054643459,PDPN,chr1-13583457-13584901,3.797763546,7.30E-05
chr1,13583465,13585445,1981,*,0.066314791,PDPN,chr1-13585106-13585784,4.072819698,2.32E-05
chr1,13583465,13590695,7231,*,0.091929848,PDPN,chr1-13590550-13590840,6.067756304,6.49E-10
chr1,13583465,13593864,10400,*,0.093007299,PDPN,chr1-13593414-13594314,6.119487374,4.69E-10
chr1,13583465,13605300,21836,*,0.086109057,PDPN,chr1-13604836-13605764,5.197445218,1.01E-07
chr1,13770937,13892792,121856,*,0.065068267,KAZN,chr1-13770827-13771047,2.864115486,0.002090878
chr1,13892792,13926472,33681,*,0.072858743,KAZN,chr1-13926377-13926567,3.437216826,0.000293862
chr1,13892792,14301571,408780,*,0.050913568,KAZN,chr1-14301480-14301662,2.637993763,0.004169906
chr1,14873821,15152532,278712,*,-0.055461523,TMEM51,chr1-14873498-14874143,-3.446901641,0.000283527
chr1,15040950,15171317,130368,*,0.057084741,C1orf195,chr1-15040861-15041038,4.65632602,1.61E-06
chr1,15146271,15438439,292169,*,0.050057361,CTRC,chr1-15145851-15146691,4.690901094,1.36E-06
chr1,15261136,15756607,495472,*,0.059808484,FBLIM1,chr1-15260309-15261962,3.644451393,0.000133981
chr1,15305561,15585110,279550,*,0.056598913,AGMAT,chr1-15305460-15305662,3.678033007,0.00011752
chr1,15429447,15756607,327161,*,0.053215176,FBLIM1,chr1-15429393-15429501,3.269447279,0.000538789
chr1,15465909,15587507,121599,*,0.093571964,CELA2B,chr1-15587352-15587661,6.861330887,3.41E-12
chr1,15485813,15526534,40722,*,0.05596858,CASP9,chr1-15485720-15485906,4.173832281,1.50E-05
chr1,15617500,15788815,171316,*,0.05504679,DDI2,chr1-15788334-15789295,2.760065913,0.002889485
chr1,15617500,15792266,174767,*,0.058496735,DDI2,chr1-15792081-15792450,3.443437467,0.000287185
chr1,15617500,15799368,181869,*,0.056950267,DDI2,chr1-15798913-15799822,2.831071908,0.002319614
chr1,15667448,16156087,488640,*,0.051183726,EPHA2,chr1-15667267-15667629,3.336067893,0.000424862
chr1,15668713,15756607,87895,*,0.055021406,FBLIM1,chr1-15668595-15668830,4.041445838,2.66E-05
chr1,15681095,15756607,75513,*,0.05994993,FBLIM1,chr1-15680654-15681535,4.005469582,3.09E-05
chr1,15684332,15781014,96683,*,0.062198238,PLEKHM2,chr1-15780421-15781607,4.132625355,1.79E-05
chr1,15747557,15756607,9051,*,0.067912566,FBLIM1,chr1-15747353-15747760,4.968873193,3.37E-07
chr1,15756607,15788815,32209,*,0.054318645,FBLIM1,chr1-15788334-15789295,3.886757271,5.08E-05
chr1,15756607,15835374,78768,*,0.050774942,FBLIM1,chr1-15834341-15836407,3.172745467,0.000755024
chr1,15809348,16133940,324593,*,0.055137532,UQCRHL,chr1-16133668-16134211,4.887511207,5.11E-07
chr1,15818464,16156087,337624,*,0.052230066,EPHA2,chr1-15818411-15818516,3.372317342,0.000372693
chr1,15939562,16156087,216526,*,0.062945566,EPHA2,chr1-15939301-15939823,3.587608094,0.000166863
chr1,15949432,15976132,26701,*,0.050865253,ZBTB17,chr1-15948695-15950169,2.753868907,0.002944768
chr1,15976132,16258228,282097,*,0.060237077,ZBTB17,chr1-16258092-16258363,3.80799837,7.00E-05
chr1,16145781,16156087,10307,*,0.057410014,EPHA2,chr1-16145674-16145887,4.360506736,6.49E-06
chr1,16156087,16217072,60986,*,0.051365891,EPHA2,chr1-16216128-16218015,3.138042065,0.000850402
chr1,16212609,16525840,313232,*,0.05321114,ARHGEF19,chr1-16525715-16525965,3.685826747,0.000113981
chr1,16440672,16477131,36460,*,0.059273603,NECAP2,chr1-16476869-16477392,4.189282047,1.40E-05
chr1,17119435,17348542,229108,*,0.056450774,PADI2,chr1-17348481-17348603,4.141890953,1.72E-05
chr1,17539835,17554318,14484,*,0.063131189,ARHGEF10L,chr1-17553963-17554673,3.80060201,7.22E-05
chr1,17615080,18107746,492667,*,0.064288311,IGSF21,chr1-17614629-17615530,2.313811684,0.010339027
chr1,17630706,18107746,477041,*,0.061440897,IGSF21,chr1-17629744-17631668,2.117215593,0.017120777
chr1,17701638,18107746,406109,*,0.050673957,IGSF21,chr1-17701495-17701780,2.604446253,0.004601143
chr1,18032948,18107746,74799,*,0.064820023,IGSF21,chr1-18032895-18033000,4.004038239,3.11E-05
chr1,18107138,18107746,609,*,0.125459246,IGSF21,chr1-18106866-18107409,5.472848666,2.21E-08
chr1,18107746,18107932,187,*,0.107405416,IGSF21,chr1-18107612-18108252,4.187177514,1.41E-05
chr1,18107746,18109165,1420,*,0.073458842,IGSF21,chr1-18109002-18109327,2.685128638,0.003625095
chr1,18107746,18110638,2893,*,0.184581401,IGSF21,chr1-18109979-18111296,6.045601507,7.44E-10
chr1,18107746,18118428,10683,*,0.145445139,IGSF21,chr1-18117897-18118959,5.744698113,4.60E-09
chr1,18107746,18165852,58107,*,0.051252862,IGSF21,chr1-18165406-18166297,1.7908583,0.036658018
chr1,18107746,18175852,68107,*,0.050463004,IGSF21,chr1-18175708-18175996,2.756172421,0.002924108
chr1,18107746,18182815,75070,*,0.050367812,IGSF21,chr1-18182478-18183151,1.822998691,0.034151795
chr1,18107746,18193263,85518,*,0.066113557,IGSF21,chr1-18193023-18193502,3.004641449,0.00132947
chr1,18107746,18336993,229248,*,0.074970151,IGSF21,chr1-18336819-18337167,4.849134665,6.20E-07
chr1,18107746,18385881,278136,*,0.060086067,IGSF21,chr1-18385414-18386347,2.050545415,0.020155618
chr1,18800276,18902781,102506,*,0.061345663,ALDH4A1,chr1-18800179-18800372,4.918811154,4.35E-07
chr1,18902781,18927695,24915,*,0.052120981,ALDH4A1,chr1-18927364-18928026,2.850378091,0.002183364
chr1,18956686,19455015,498330,*,0.052586074,IFFO2,chr1-19454465-19455565,3.714358868,0.00010186
chr1,19204577,19640554,435978,*,0.050548788,NBL1,chr1-19204217-19204937,2.449490033,0.007152933
chr1,19210337,19640554,430218,*,0.05255463,NBL1,chr1-19209300-19211373,2.596552554,0.004708225
chr1,19251539,19260536,8998,*,0.068503373,MRTO4,chr1-19260086-19260985,4.495667899,3.47E-06
chr1,19251539,19468617,217079,*,0.067546032,MRTO4,chr1-19468386-19468848,4.14969989,1.66E-05
chr1,19251539,19744541,493003,*,0.055658131,MRTO4,chr1-19744103-19744979,3.377071852,0.00036631
chr1,19289250,19344530,55281,*,0.063443402,AKR7A3,chr1-19344455-19344605,5.079892085,1.89E-07
chr1,19296910,19640554,343645,*,0.055405109,NBL1,chr1-19296835-19296985,3.76103246,8.46E-05
chr1,19418575,19640554,221980,*,0.050428428,NBL1,chr1-19418294-19418856,2.377809066,0.008707921
chr1,19455015,19640554,185540,*,0.075165337,NBL1,chr1-19454465-19455565,3.503387703,0.00022969
chr1,19505684,19640554,134871,*,0.051181091,NBL1,chr1-19504979-19506389,2.548134844,0.00541503
chr1,19640554,19644591,4038,*,0.065060715,NBL1,chr1-19643666-19645515,2.585273699,0.004865086
chr1,19640554,19659965,19412,*,0.050264876,NBL1,chr1-19659711-19660219,2.374932106,0.008776089
chr1,19920191,20177424,257234,*,0.075998848,PLA2G2C,chr1-19920081-19920301,8.159212408,1.69E-16
chr1,20098137,20177424,79288,*,0.055342521,PLA2G2C,chr1-20098087-20098187,3.788923653,7.57E-05
chr1,20427095,20588948,161854,*,-0.052749446,CDA,chr1-20426656-20427533,-2.845044556,0.002220261
chr1,20588948,20871701,282754,*,0.050358321,CDA,chr1-20871626-20871775,4.43022351,4.71E-06
chr1,20588948,21022646,433699,*,-0.05125646,CDA,chr1-21022215-21023076,-2.874862704,0.002021016
chr1,20732561,21176888,444328,*,-0.055943312,EIF4G3,chr1-20731579-20733543,-1.954723733,0.025307844
chr1,20787110,20787323,214,*,0.067160201,HP1BP3,chr1-20786026-20788193,2.564188855,0.005170863
chr1,21099553,21345504,245952,*,0.050355527,ECE1,chr1-21099151-21099955,2.197785329,0.013982204
chr1,21138700,21509372,370673,*,0.080598154,ALPL,chr1-21138589-21138810,4.016882121,2.95E-05
chr1,21196620,21509372,312753,*,0.10168708,ALPL,chr1-21196562-21196677,3.517811068,0.000217561
chr1,21200875,21345504,144630,*,0.070983818,ECE1,chr1-21200700-21201050,2.616741986,0.004438671
chr1,21200875,21509372,308498,*,0.082871628,ALPL,chr1-21200700-21201050,3.022821806,0.001252148
chr1,21294814,21345504,50691,*,0.094235255,ECE1,chr1-21294388-21295240,3.328196439,0.000437051
chr1,21294814,21509372,214559,*,0.104815117,ALPL,chr1-21294388-21295240,4.863354176,5.77E-07
chr1,21299213,21509372,210160,*,0.075902584,ALPL,chr1-21298958-21299468,2.3845139,0.008550851
chr1,21299213,21669363,370151,*,0.053287888,RAP1GAP,chr1-21298958-21299468,1.807122782,0.035371569
chr1,21314048,21669363,355316,*,0.061848617,RAP1GAP,chr1-21313974-21314121,1.99943933,0.02278042
chr1,21324937,21345504,20568,*,0.058337436,ECE1,chr1-21324219-21325654,2.203913862,0.013765201
chr1,21324937,21509372,184436,*,0.061258565,ALPL,chr1-21324219-21325654,2.076259368,0.018934985
chr1,21345504,21410072,64569,*,0.142798951,ECE1,chr1-21409925-21410218,4.882372308,5.24E-07
chr1,21345504,21474904,129401,*,0.061271571,ECE1,chr1-21474758-21475049,2.09106216,0.018261246
chr1,21345504,21509113,163610,*,0.051934586,ECE1,chr1-21508731-21509495,1.908315355,0.028175235
chr1,21345504,21546254,200751,*,0.074402489,ECE1,chr1-21546162-21546345,3.127330262,0.000882008
chr1,21345504,21565068,219565,*,0.067437734,ECE1,chr1-21564626-21565509,2.799813528,0.002556607
chr1,21345504,21585257,239754,*,0.067360671,ECE1,chr1-21585102-21585411,2.329629057,0.009912883
chr1,21345504,21638748,293245,*,0.058611309,ECE1,chr1-21638363-21639132,2.023650383,0.021503069
chr1,21410072,21509372,99301,*,0.124993542,ALPL,chr1-21409925-21410218,4.030386853,2.78E-05
chr1,21454976,21509372,54397,*,0.100504392,ALPL,chr1-21454926-21455026,4.913543843,4.47E-07
chr1,21474904,21669363,194460,*,0.124677175,RAP1GAP,chr1-21474758-21475049,4.480291491,3.73E-06
chr1,21488910,21509372,20463,*,0.063856607,ALPL,chr1-21488785-21489034,2.396757968,0.008270423
chr1,21509113,21937297,428185,*,0.050775195,HSPG2,chr1-21508731-21509495,2.204972287,0.01372802
chr1,21509372,21553091,43720,*,0.075717473,ALPL,chr1-21552650-21553532,3.293750294,0.000494301
