TableS2 marker genes of macrophage subpopulations identified by single-cell multi-omics,,,,,,,
gene,cluster,pct.1,pct.2,avg_log2FC,p_val,p_val_adj,
UGCG,PCSK6-hi MΦ,0.73,0.566,0.51619155,1.51E-43,5.51E-39,
ANPEP,PCSK6-hi MΦ,0.743,0.624,0.361232211,3.93E-43,1.44E-38,
RABGEF1,PCSK6-hi MΦ,0.919,0.837,0.498436449,5.41E-43,1.98E-38,
ATP8B1,PCSK6-hi MΦ,0.777,0.624,0.408929642,9.84E-43,3.60E-38,
RND3,PCSK6-hi MΦ,0.514,0.273,0.387922455,1.62E-42,5.93E-38,
GPC6,PCSK6-hi MΦ,0.216,0.086,0.780502344,2.02E-42,7.41E-38,
ATP2C1,PCSK6-hi MΦ,0.834,0.755,0.637801166,2.21E-42,8.07E-38,
MICAL2,PCSK6-hi MΦ,0.806,0.672,0.396641196,2.36E-42,8.65E-38,
ATP6V0A1,PCSK6-hi MΦ,0.869,0.772,0.381906416,5.32E-42,1.95E-37,
ADAM17,PCSK6-hi MΦ,0.836,0.755,0.505116278,9.63E-42,3.52E-37,
C5AR1,PCSK6-hi MΦ,0.719,0.641,0.327395528,2.30E-40,8.40E-36,
USP4,PCSK6-hi MΦ,0.917,0.849,0.386782435,2.12E-39,7.77E-35,
RALA,PCSK6-hi MΦ,0.82,0.707,0.471194521,9.10E-39,3.33E-34,
MACC1,PCSK6-hi MΦ,0.301,0.131,0.452273117,1.03E-38,3.77E-34,
ADAM8,PCSK6-hi MΦ,0.575,0.408,0.276445559,1.28E-38,4.67E-34,
ST3GAL6,PCSK6-hi MΦ,0.955,0.932,0.395462477,1.32E-38,4.82E-34,
MELTF,PCSK6-hi MΦ,0.317,0.159,0.239480571,1.73E-38,6.34E-34,
TCF12,PCSK6-hi MΦ,0.996,0.994,0.295686942,4.72E-38,1.73E-33,
LHFPL2,PCSK6-hi MΦ,0.91,0.853,0.345917358,7.04E-38,2.58E-33,
PTPRM,PCSK6-hi MΦ,0.905,0.794,0.401980128,8.20E-38,3.00E-33,
KIFC3,PCSK6-hi MΦ,0.709,0.525,0.348877011,1.05E-37,3.83E-33,
ABCB4,PCSK6-hi MΦ,0.635,0.426,0.355139561,1.05E-37,3.85E-33,
RASAL2,PCSK6-hi MΦ,0.976,0.955,0.396158585,1.08E-37,3.94E-33,
ARHGAP6,PCSK6-hi MΦ,0.74,0.562,0.456626274,3.41E-37,1.25E-32,
ADAMTS6,PCSK6-hi MΦ,0.402,0.211,0.499610655,4.52E-37,1.66E-32,
ALOX5,PCSK6-hi MΦ,0.66,0.489,0.416371999,5.01E-37,1.83E-32,
TSPAN15,PCSK6-hi MΦ,0.558,0.369,0.281088112,5.98E-37,2.19E-32,
MYO9B,PCSK6-hi MΦ,0.985,0.98,0.388916174,7.23E-37,2.65E-32,
NEURL2,PCSK6-hi MΦ,0.294,0.118,0.288723727,1.33E-36,4.88E-32,
RABGAP1L,PCSK6-hi MΦ,0.983,0.948,0.375506221,1.48E-36,5.40E-32,
ACVR1,PCSK6-hi MΦ,0.794,0.647,0.38981381,1.84E-36,6.74E-32,
FABP5,PCSK6-hi MΦ,0.695,0.536,0.422488762,3.79E-36,1.39E-31,
LGI2,PCSK6-hi MΦ,0.498,0.307,0.245179373,4.27E-36,1.56E-31,
MACF1,PCSK6-hi MΦ,0.99,0.988,0.309697511,7.09E-36,2.60E-31,
TBC1D8,PCSK6-hi MΦ,0.856,0.749,0.543639462,7.42E-36,2.72E-31,
ZFYVE28,PCSK6-hi MΦ,0.833,0.702,0.42013288,2.74E-35,1.00E-30,
L3MBTL4,PCSK6-hi MΦ,0.881,0.777,0.42382726,3.17E-35,1.16E-30,
RAB7B,PCSK6-hi MΦ,0.643,0.488,0.437724065,5.52E-35,2.02E-30,
SLC39A8,PCSK6-hi MΦ,0.725,0.609,0.55288996,5.55E-35,2.03E-30,
COL24A1,PCSK6-hi MΦ,0.377,0.19,0.470967018,9.63E-35,3.53E-30,
FAM49B,PCSK6-hi MΦ,0.987,0.983,0.340332028,1.83E-34,6.69E-30,
AHNAK,PCSK6-hi MΦ,0.917,0.883,0.300334838,1.92E-34,7.02E-30,
GSN,PCSK6-hi MΦ,0.867,0.839,0.344877877,2.19E-34,8.02E-30,
VAV3,PCSK6-hi MΦ,0.987,0.965,0.329929225,3.27E-34,1.20E-29,
MEIKIN,PCSK6-hi MΦ,0.632,0.462,0.547911885,4.67E-34,1.71E-29,
FMNL1,PCSK6-hi MΦ,0.763,0.621,0.293372629,7.07E-34,2.59E-29,
P2RX4,PCSK6-hi MΦ,0.598,0.412,0.329457847,1.01E-33,3.70E-29,
TUBA1A,PCSK6-hi MΦ,0.588,0.48,0.299559189,1.45E-33,5.33E-29,
APBB2,PCSK6-hi MΦ,0.453,0.256,0.433637993,2.96E-33,1.08E-28,
USP53,PCSK6-hi MΦ,0.495,0.349,0.427939726,3.80E-33,1.39E-28,
DRAM1,PCSK6-hi MΦ,0.919,0.879,0.45366466,5.29E-33,1.94E-28,
RASGRP3,PCSK6-hi MΦ,0.87,0.776,0.38730565,7.69E-33,2.82E-28,
PVT1,PCSK6-hi MΦ,0.779,0.627,0.416489957,1.13E-32,4.15E-28,
CD28,PCSK6-hi MΦ,0.654,0.482,0.346341723,1.16E-32,4.23E-28,
MAP4,PCSK6-hi MΦ,0.867,0.774,0.356814319,2.23E-32,8.18E-28,
ITGAL,PCSK6-hi MΦ,0.549,0.392,0.374147211,3.38E-32,1.24E-27,
KIAA1671,PCSK6-hi MΦ,0.36,0.183,0.273331518,5.24E-32,1.92E-27,
PGBD5,PCSK6-hi MΦ,0.26,0.115,0.272683902,5.95E-32,2.18E-27,
CD276,PCSK6-hi MΦ,0.645,0.502,0.275069559,9.23E-32,3.38E-27,
STK38L,PCSK6-hi MΦ,0.6,0.454,0.397805309,2.48E-31,9.09E-27,
SSH1,PCSK6-hi MΦ,0.923,0.859,0.316046913,3.86E-31,1.41E-26,
HPCAL1,PCSK6-hi MΦ,0.874,0.786,0.398426398,1.85E-30,6.78E-26,
AGPAT4,PCSK6-hi MΦ,0.767,0.623,0.404792948,2.68E-30,9.82E-26,
ARMC9,PCSK6-hi MΦ,0.854,0.748,0.402225109,1.05E-29,3.86E-25,
CNIH3,PCSK6-hi MΦ,0.576,0.366,0.363469122,1.27E-29,4.65E-25,
IRAK2,PCSK6-hi MΦ,0.491,0.306,0.327084357,1.43E-29,5.23E-25,
CTSB,PCSK6-hi MΦ,0.996,0.999,0.188483335,2.10E-29,7.69E-25,
ZEB1,PCSK6-hi MΦ,0.239,0.091,0.40629744,2.49E-29,9.11E-25,
SAMD4A,PCSK6-hi MΦ,0.936,0.868,0.411839708,2.92E-29,1.07E-24,
CAB39,PCSK6-hi MΦ,0.96,0.947,0.345425227,3.58E-29,1.31E-24,
DST,PCSK6-hi MΦ,0.775,0.641,0.389217519,4.41E-29,1.62E-24,
DOCK4,PCSK6-hi MΦ,0.993,0.995,0.268051011,1.16E-28,4.25E-24,
ACVR2A,PCSK6-hi MΦ,0.84,0.766,0.394620828,1.79E-28,6.56E-24,
APP,PCSK6-hi MΦ,0.851,0.778,0.296638528,2.16E-28,7.92E-24,
SLCO2B1,PCSK6-hi MΦ,0.968,0.955,0.347977157,3.99E-28,1.46E-23,
TPM4,PCSK6-hi MΦ,0.826,0.736,0.305632889,5.48E-28,2.01E-23,
IFNAR2,PCSK6-hi MΦ,0.922,0.872,0.317136293,2.69E-27,9.86E-23,
PTPRJ,PCSK6-hi MΦ,0.985,0.974,0.313240385,4.27E-27,1.56E-22,
ZCCHC7,PCSK6-hi MΦ,0.895,0.845,0.441142276,5.28E-27,1.93E-22,
KLF6,PCSK6-hi MΦ,0.959,0.94,0.309017703,6.21E-27,2.27E-22,
LRP12,PCSK6-hi MΦ,0.571,0.42,0.420151922,9.24E-27,3.38E-22,
LRMDA,PCSK6-hi MΦ,0.994,0.994,0.325598521,9.68E-27,3.54E-22,
HHAT,PCSK6-hi MΦ,0.307,0.169,0.280022634,1.07E-26,3.93E-22,
PLS3,PCSK6-hi MΦ,0.127,0.038,0.129988823,1.24E-26,4.53E-22,
PCNX2,PCSK6-hi MΦ,0.621,0.453,0.331573025,1.35E-26,4.93E-22,
MYOF,PCSK6-hi MΦ,0.742,0.603,0.341324631,1.36E-26,4.97E-22,
ZSWIM6,PCSK6-hi MΦ,0.988,0.988,0.334600857,2.05E-26,7.49E-22,
PAQR5,PCSK6-hi MΦ,0.214,0.085,0.268627956,2.50E-26,9.16E-22,
ACE,PCSK6-hi MΦ,0.344,0.193,0.197292891,2.79E-26,1.02E-21,
SLC11A1,PCSK6-hi MΦ,0.865,0.762,0.33022431,2.90E-26,1.06E-21,
SLC6A6,PCSK6-hi MΦ,0.91,0.831,0.266532066,3.48E-26,1.28E-21,
GAS7,PCSK6-hi MΦ,0.985,0.986,0.363962272,5.77E-26,2.11E-21,
NCAM1,PCSK6-hi MΦ,0.186,0.076,0.42851112,6.50E-26,2.38E-21,
FGD5,PCSK6-hi MΦ,0.337,0.177,0.226870009,6.50E-26,2.38E-21,
C3orf62,PCSK6-hi MΦ,0.598,0.428,0.253303628,8.18E-26,2.99E-21,
LINC01605,PCSK6-hi MΦ,0.369,0.211,0.263757262,9.68E-26,3.54E-21,
ACTN1,PCSK6-hi MΦ,0.762,0.652,0.312489653,1.86E-25,6.80E-21,
RHOC,PCSK6-hi MΦ,0.31,0.186,0.139244033,1.94E-25,7.11E-21,
TRERF1,PCSK6-hi MΦ,0.93,0.893,0.35318692,2.42E-25,8.87E-21,
RGCC,PCSK6-hi MΦ,0.468,0.322,0.309659428,3.13E-25,1.14E-20,
PTGS1,PCSK6-hi MΦ,0.537,0.398,0.199761124,4.47E-25,1.64E-20,
SGCG,PCSK6-hi MΦ,0.255,0.125,0.3064329,5.82E-25,2.13E-20,
RAI14,PCSK6-hi MΦ,0.266,0.13,0.416851409,1.08E-24,3.94E-20,
MAP4K3,PCSK6-hi MΦ,0.896,0.848,0.388189304,1.16E-24,4.24E-20,
CSK,PCSK6-hi MΦ,0.699,0.586,0.233256923,1.23E-24,4.52E-20,
PPARG,PCSK6-hi MΦ,0.801,0.648,0.398668645,1.34E-24,4.91E-20,
NCKAP5L,PCSK6-hi MΦ,0.532,0.372,0.249396785,1.59E-24,5.80E-20,
LPCAT2,PCSK6-hi MΦ,0.859,0.793,0.326308504,1.60E-24,5.86E-20,
MPPED2,PCSK6-hi MΦ,0.434,0.277,0.315805152,1.75E-24,6.40E-20,
STK10,PCSK6-hi MΦ,0.874,0.806,0.305909946,2.57E-24,9.40E-20,
CPQ,PCSK6-hi MΦ,0.949,0.906,0.36591478,3.37E-24,1.23E-19,
EMP1,PCSK6-hi MΦ,0.742,0.695,0.279758248,3.62E-24,1.33E-19,
AL356124.1,PCSK6-hi MΦ,0.852,0.759,0.334919202,9.12E-24,3.34E-19,
AC100849.2,PCSK6-hi MΦ,0.211,0.089,0.182032256,9.22E-24,3.38E-19,
STXBP5-AS1,PCSK6-hi MΦ,0.414,0.243,0.293586977,9.52E-24,3.48E-19,
ELAVL4,PCSK6-hi MΦ,0.119,0.036,0.137380417,1.10E-23,4.01E-19,
SRGAP1,PCSK6-hi MΦ,0.731,0.588,0.344603222,1.23E-23,4.49E-19,
ANXA4,PCSK6-hi MΦ,0.941,0.885,0.270055543,1.25E-23,4.56E-19,
GLCCI1,PCSK6-hi MΦ,0.638,0.515,0.37763114,1.64E-23,6.00E-19,
DENND5A,PCSK6-hi MΦ,0.596,0.449,0.308495821,1.67E-23,6.11E-19,
JDP2,PCSK6-hi MΦ,0.657,0.535,0.325020621,2.28E-23,8.34E-19,
KANK1,PCSK6-hi MΦ,0.373,0.227,0.274185769,3.27E-23,1.20E-18,
FCGBP,PCSK6-hi MΦ,0.574,0.512,0.49401742,3.76E-23,1.38E-18,
RTN4,PCSK6-hi MΦ,0.947,0.939,0.260484865,3.99E-23,1.46E-18,
RASA3,PCSK6-hi MΦ,0.57,0.425,0.313064797,4.16E-23,1.52E-18,
SH2B3,PCSK6-hi MΦ,0.859,0.778,0.289146936,4.62E-23,1.69E-18,
CSF1R,PCSK6-hi MΦ,0.769,0.703,0.199621962,4.99E-23,1.83E-18,
STX12,PCSK6-hi MΦ,0.834,0.74,0.265710077,5.64E-23,2.06E-18,
P3H2,PCSK6-hi MΦ,0.131,0.051,0.275562158,6.15E-23,2.25E-18,
CUX1,PCSK6-hi MΦ,0.948,0.911,0.293532132,6.79E-23,2.49E-18,
GK,PCSK6-hi MΦ,0.4,0.245,0.287294658,1.16E-22,4.24E-18,
THRB,PCSK6-hi MΦ,0.67,0.514,0.335676298,1.26E-22,4.59E-18,
TRPM4,PCSK6-hi MΦ,0.363,0.213,0.18486259,1.41E-22,5.17E-18,
CD44,PCSK6-hi MΦ,0.947,0.937,0.274280329,1.42E-22,5.20E-18,
PLAUR,PCSK6-hi MΦ,0.798,0.697,0.321326102,2.77E-22,1.01E-17,
PRKX,PCSK6-hi MΦ,0.716,0.617,0.302770938,2.96E-22,1.08E-17,
ENG,PCSK6-hi MΦ,0.827,0.78,0.214408044,7.43E-22,2.72E-17,
ZMYND15,PCSK6-hi MΦ,0.171,0.063,0.134721979,7.97E-22,2.92E-17,
PRELID3A,PCSK6-hi MΦ,0.377,0.231,0.216638548,9.04E-22,3.31E-17,
ARHGEF10L,PCSK6-hi MΦ,0.82,0.706,0.262336656,1.34E-21,4.90E-17,
TENT2,PCSK6-hi MΦ,0.983,0.985,0.308753416,1.35E-21,4.94E-17,
GNB1,PCSK6-hi MΦ,0.915,0.845,0.262813543,1.49E-21,5.47E-17,
FCHSD2,PCSK6-hi MΦ,0.984,0.97,0.21123125,1.51E-21,5.51E-17,
KCNN4,PCSK6-hi MΦ,0.508,0.38,0.211304865,2.32E-21,8.51E-17,
CNKSR3,PCSK6-hi MΦ,0.237,0.102,0.193401621,2.99E-21,1.09E-16,
NFAT5,PCSK6-hi MΦ,0.892,0.861,0.300233873,3.06E-21,1.12E-16,
NECTIN2,PCSK6-hi MΦ,0.541,0.412,0.213800513,3.22E-21,1.18E-16,
FLNA,PCSK6-hi MΦ,0.698,0.606,0.200468255,3.23E-21,1.18E-16,
CYFIP1,PCSK6-hi MΦ,0.944,0.911,0.289608424,3.28E-21,1.20E-16,
FAM114A1,PCSK6-hi MΦ,0.401,0.264,0.233947253,3.54E-21,1.30E-16,
SYT11,PCSK6-hi MΦ,0.205,0.107,0.113205787,3.55E-21,1.30E-16,
TNFRSF11A,PCSK6-hi MΦ,0.708,0.598,0.265149677,4.01E-21,1.47E-16,
CAPZB,PCSK6-hi MΦ,0.961,0.95,0.218814833,5.93E-21,2.17E-16,
TTYH3,PCSK6-hi MΦ,0.881,0.844,0.193569885,8.84E-21,3.24E-16,
MAMLD1,PCSK6-hi MΦ,0.16,0.06,0.190065697,1.02E-20,3.72E-16,
LYST,PCSK6-hi MΦ,0.929,0.907,0.322718587,1.10E-20,4.01E-16,
CD80,PCSK6-hi MΦ,0.326,0.188,0.193077071,1.20E-20,4.37E-16,
PLEC,PCSK6-hi MΦ,0.695,0.624,0.184032821,1.63E-20,5.97E-16,
RBM47,PCSK6-hi MΦ,0.985,0.984,0.33188341,2.19E-20,8.00E-16,
DDHD1,PCSK6-hi MΦ,0.839,0.762,0.360294692,2.62E-20,9.59E-16,
DOCK1,PCSK6-hi MΦ,0.822,0.721,0.246503819,2.89E-20,1.06E-15,
TCIRG1,PCSK6-hi MΦ,0.656,0.527,0.18760249,3.92E-20,1.43E-15,
GRB10,PCSK6-hi MΦ,0.303,0.17,0.221396764,4.35E-20,1.59E-15,
AC092353.2,PCSK6-hi MΦ,0.498,0.277,0.143842453,4.60E-20,1.68E-15,
CYTH4,PCSK6-hi MΦ,0.829,0.754,0.213305316,5.51E-20,2.02E-15,
PLXND1,PCSK6-hi MΦ,0.948,0.942,0.208637169,5.81E-20,2.13E-15,
MYO1B,PCSK6-hi MΦ,0.14,0.051,0.181301271,6.29E-20,2.30E-15,
HIPK2,PCSK6-hi MΦ,0.737,0.604,0.254862964,8.54E-20,3.12E-15,
ITGB5-AS1,PCSK6-hi MΦ,0.308,0.164,0.189356212,8.97E-20,3.28E-15,
AC100858.3,PCSK6-hi MΦ,0.228,0.109,0.147774995,1.02E-19,3.72E-15,
TRPV2,PCSK6-hi MΦ,0.6,0.48,0.18211405,1.10E-19,4.01E-15,
TLR1,PCSK6-hi MΦ,0.72,0.61,0.225003378,1.45E-19,5.30E-15,
BCL2L1,PCSK6-hi MΦ,0.704,0.59,0.326813933,1.61E-19,5.90E-15,
VMO1,PCSK6-hi MΦ,0.243,0.153,0.235086955,1.85E-19,6.76E-15,
SASH1,PCSK6-hi MΦ,0.818,0.712,0.277679567,2.75E-19,1.01E-14,
FYN,PCSK6-hi MΦ,0.244,0.132,0.272324129,5.60E-19,2.05E-14,
GBP2,PCSK6-hi MΦ,0.532,0.403,0.212437046,5.96E-19,2.18E-14,
RAPH1,PCSK6-hi MΦ,0.931,0.891,0.256555742,7.89E-19,2.89E-14,
IPO9-AS1,PCSK6-hi MΦ,0.33,0.186,0.192131371,8.72E-19,3.19E-14,
CHST15,PCSK6-hi MΦ,0.711,0.573,0.235558229,9.12E-19,3.34E-14,
XKR6,PCSK6-hi MΦ,0.507,0.368,0.273150899,9.76E-19,3.57E-14,
BMERB1,PCSK6-hi MΦ,0.34,0.201,0.204829805,1.13E-18,4.14E-14,
RNF122,PCSK6-hi MΦ,0.155,0.06,0.132477043,1.47E-18,5.39E-14,
MATK,PCSK6-hi MΦ,0.273,0.138,0.151473375,1.48E-18,5.43E-14,
FAM126A,PCSK6-hi MΦ,0.745,0.652,0.264634145,1.52E-18,5.56E-14,
VIM,PCSK6-hi MΦ,0.892,0.906,0.224148441,1.81E-18,6.64E-14,
CD93,PCSK6-hi MΦ,0.527,0.488,0.21966672,2.00E-18,7.32E-14,
EXOC6B,PCSK6-hi MΦ,0.906,0.836,0.248009644,2.15E-18,7.89E-14,
NIBAN1,PCSK6-hi MΦ,0.535,0.386,0.296044321,2.26E-18,8.27E-14,
AL354740.1,PCSK6-hi MΦ,0.391,0.276,0.25501181,2.56E-18,9.36E-14,
BBS5,PCSK6-hi MΦ,0.614,0.469,0.293795182,2.76E-18,1.01E-13,
RNF149,PCSK6-hi MΦ,0.908,0.864,0.270178804,2.99E-18,1.10E-13,
SLC39A11,PCSK6-hi MΦ,0.949,0.912,0.282083998,3.30E-18,1.21E-13,
SLC12A8,PCSK6-hi MΦ,0.212,0.099,0.164833626,3.33E-18,1.22E-13,
PTK2,PCSK6-hi MΦ,0.783,0.651,0.256770338,3.35E-18,1.23E-13,
CXCL16,PCSK6-hi MΦ,0.359,0.259,0.156378886,3.35E-18,1.23E-13,
CCDC88A,PCSK6-hi MΦ,0.983,0.986,0.323549225,3.50E-18,1.28E-13,
TNFAIP8L3,PCSK6-hi MΦ,0.153,0.069,0.116894779,3.60E-18,1.32E-13,
GOLIM4,PCSK6-hi MΦ,0.772,0.702,0.256598036,3.77E-18,1.38E-13,
AC099541.2,PCSK6-hi MΦ,0.257,0.123,0.137312568,5.96E-18,2.18E-13,
DOCK5,PCSK6-hi MΦ,0.879,0.82,0.301306261,6.06E-18,2.22E-13,
PDPN,PCSK6-hi MΦ,0.285,0.175,0.169290273,6.24E-18,2.28E-13,
NPDC1,PCSK6-hi MΦ,0.197,0.102,0.093696297,7.14E-18,2.61E-13,
GPRIN3,PCSK6-hi MΦ,0.897,0.847,0.283233554,8.02E-18,2.93E-13,
PPM1H,PCSK6-hi MΦ,0.801,0.718,0.301193239,8.60E-18,3.15E-13,
SHOX2,PCSK6-hi MΦ,0.137,0.052,0.124463863,1.16E-17,4.24E-13,
LIMS1,PCSK6-hi MΦ,0.95,0.931,0.285572413,1.26E-17,4.60E-13,
NABP1,PCSK6-hi MΦ,0.954,0.919,0.168373945,1.52E-17,5.55E-13,
AC092868.2,PCSK6-hi MΦ,0.23,0.106,0.119087661,2.20E-17,8.06E-13,
RIN3,PCSK6-hi MΦ,0.892,0.847,0.254196624,2.45E-17,8.98E-13,
TESK2,PCSK6-hi MΦ,0.573,0.449,0.382872265,4.41E-17,1.61E-12,
GNAS,PCSK6-hi MΦ,0.87,0.833,0.153943803,4.55E-17,1.66E-12,
LPIN1,PCSK6-hi MΦ,0.558,0.429,0.227322145,4.66E-17,1.70E-12,
CD151,PCSK6-hi MΦ,0.457,0.367,0.116734433,4.66E-17,1.71E-12,
CELSR1,PCSK6-hi MΦ,0.371,0.23,0.214311201,5.47E-17,2.00E-12,
KIAA1217,PCSK6-hi MΦ,0.114,0.05,0.213138489,6.27E-17,2.29E-12,
